# lon, lat, qv_find, TOPO
121.44891,  25.16489,   2,   2
121.54455,  25.16208,   7,   7
121.74048,  25.13331,   2,   2
121.49200,  25.11575,   2,   2
121.78121,  25.07118,   7,   7
121.51485,  25.03766,   2,   2
121.04749,  25.00674,   2,   2
121.52000,  24.95930,   2,   2
121.83080,  24.85323,   2,   2
121.01422,  24.82785,   2,   2
121.75653,  24.76398,   2,   2
121.84248,  24.49709,   0,   0
121.74103,  24.26676,   2,   2
120.68408,  24.14574,   2,   2
121.61328,  23.97513,   2,   2
120.32586,  23.96824,   2,   2
120.90805,  23.88133,  10,  10
120.16933,  23.53628,   2,   2
120.81324,  23.50821,  24,  24
120.43291,  23.49593,   2,   2
120.95952,  23.48761,  37,  37
120.18026,  23.35893,   2,   2
120.08625,  23.14729,   0,   0
120.29722,  23.11288,   2,   2
121.37343,  23.09749,   2,   2
120.11160,  23.02350,   2,   2
120.20477,  22.99324,   2,   2
121.15459,  22.75221,   2,   2
120.31250,  22.73040,   2,   2
120.41510,  22.47820,   2,   2
120.55480,  22.39290,   2,   2
120.90379,  22.35568,   2,   2
120.71625,  22.07440,   2,   2
120.74634,  22.00390,   2,   2
120.80803,  21.94824,   2,   2
121.36973,  24.93903,   2,   2
121.68766,  24.71813,   2,   2
120.82458,  24.56457,   2,   2
121.68914,  24.21829,   2,   2
121.62970,  24.14743,   2,   2
120.62410,  24.10706,   2,   2
120.69950,  24.04190,   2,   2
120.58620,  23.89765,   2,   2
121.50808,  23.87085,   2,   2
120.47836,  23.67873,   2,   2
